;T(entropy,1,0.01,0.4)sensitivity;T(entropy,1,0.01,0.4)specificity;T(entropy,1,0.01,0.4)precision;T(entropy,1,0.01,0.4)accuracy
1708661255722239460,1,2,20,(30, 75, 50);65.71;82.14;78.26;73.93;65.71;81.43;78.26;73.57;62.86;81.43;78.26;72.14;61.43;82.14;77.27;71.79
1107158645723204584,1,2,20,(30, 75, 50);62.14;60.0;60.71;61.07;60.71;59.29;60.71;60.0;61.43;61.43;60.71;61.43;60.71;60.71;60.71;60.71
avg;64.39;77.75;74.22;71.07;64.28;76.33;72.84;70.31;63.57;77.14;73.84;70.36;64.08;76.84;72.77;70.46
std;6.81;9.19;8.33;7.09;7.8;9.33;8.51;7.83;9.02;7.71;7.79;7.24;8.71;8.89;8.57;7.85
7933197233428195239,1,2,20,(30, 45, 30);65.0;74.29;72.0;69.64;69.29;72.86;70.37;71.07;68.57;72.86;70.37;70.71;64.29;74.29;72.0;69.29
1735640862149943821,1,2,20,(30, 45, 30);67.14;72.86;70.37;70.0;65.0;72.86;69.23;68.93;64.29;75.0;72.0;69.64;66.43;77.86;76.0;72.14
3245434972983169324,1,2,20,(30, 45, 30);57.14;63.57;61.54;60.36;57.14;66.43;64.0;61.79;58.57;67.14;64.0;62.86;57.14;69.29;64.0;63.21
1708661255722239460,1,2,20,(30, 45, 30);70.71;85.71;83.33;78.21;71.43;87.86;86.96;79.64;69.29;90.0;86.36;79.64;71.43;90.0;86.96;80.71
1107158645723204584,1,2,20,(30, 45, 30);67.14;58.57;61.29;62.86;67.14;60.71;63.33;63.93;67.86;62.14;63.33;65.0;67.86;60.71;63.33;64.29
avg;64.4;73.1;70.97;68.75;65.6;74.17;72.62;69.88;64.41;74.52;71.46;69.46;64.41;75.36;72.7;69.88
std;5.18;10.7;8.68;6.39;5.02;10.34;9.67;6.55;5.1;9.8;8.33;5.81;5.37;9.95;8.71;6.3
7933197233428195239,1,2,40,(30, 75, 50);67.86;77.14;76.0;72.5;67.86;79.29;76.0;73.57;68.57;77.86;76.0;73.21;67.86;78.57;76.0;73.21
1735640862149943821,1,2,40,(30, 75, 50);63.57;77.86;75.0;70.71;62.86;75.71;72.0;69.29;62.86;77.14;75.0;70.0;62.86;79.29;75.0;71.07
3245434972983169324,1,2,40,(30, 75, 50);55.0;72.86;65.22;63.93;59.29;68.57;65.38;63.93;52.86;75.71;68.18;64.29;55.71;67.14;64.0;61.43
1708661255722239460,1,2,40,(30, 75, 50);65.71;79.29;75.0;72.5;62.86;83.57;78.26;73.21;65.71;81.43;78.26;73.57;65.0;83.57;78.26;74.29
1107158645723204584,1,2,40,(30, 75, 50);62.14;60.71;60.71;61.43;62.86;60.0;62.07;61.43;60.71;57.86;58.62;59.29;61.43;58.57;58.62;60.0
avg;62.86;73.57;70.39;68.21;63.15;73.43;70.74;68.29;62.14;74.0;71.21;68.07;62.57;73.43;70.38;68.0
std;4.9;7.58;6.97;5.18;3.06;9.31;6.89;5.46;5.97;9.27;7.98;6.16;4.54;10.3;8.57;6.77
7933197233428195239,1,2,40,(30, 45, 30);67.14;81.43;79.17;74.29;66.43;76.43;73.08;71.43;68.57;76.43;73.08;72.5;68.57;71.43;70.37;70.0
1735640862149943821,1,2,40,(30, 45, 30);67.14;77.86;76.0;72.5;69.29;75.71;73.08;72.5;67.86;76.43;73.08;72.14;67.86;77.14;76.0;72.5
3245434972983169324,1,2,40,(30, 45, 30);61.43;64.29;62.96;62.86;59.29;66.43;65.38;62.86;60.71;65.0;62.96;62.86;55.0;65.71;60.0;60.36
1708661255722239460,1,2,40,(30, 45, 30);70.71;88.57;86.96;79.64;70.0;91.43;90.91;80.71;69.29;92.86;90.48;81.07;70.71;90.0;86.96;80.36
1107158645723204584,1,2,40,(30, 45, 30);65.0;56.43;60.0;60.71;65.71;55.0;58.06;60.36;66.43;57.86;61.29;62.14;66.43;60.0;63.33;63.21
avg;66.28;73.72;73.02;70.0;66.14;73.0;72.1;69.57;66.57;73.72;72.18;70.14;65.71;72.86;71.33;69.29
std;3.4;13.09;11.31;7.98;4.24;13.47;12.23;8.15;3.44;13.31;11.62;7.84;6.19;11.52;10.72;7.91

;T(entropy,1,0.01,0.6)sensitivity;T(entropy,1,0.01,0.6)specificity;T(entropy,1,0.01,0.6)precision;T(entropy,1,0.01,0.6)accuracy
7933197233428195239,1,1,40,(30, 25, 15);64.29;53.57;58.06;58.93
