;T(entropy,2,0.01,0.4)
3,5,1,-12;(60.0, 60.0, 100.0, 100.0, 80.0);
3,10,1,-12;(40.0, 80.0, 60.0, 66.67, 70.0);
3,15,1,-12;(-30.0, 40.0, 30.0, 36.36, 35.0);
3,5,2,-12;(20.0, 50.0, 70.0, 62.5, 60.0);
3,10,2,-12;(-10.0, 60.0, 30.0, 46.15, 45.0);
3,15,2,-12;(30.0, 60.0, 70.0, 66.67, 65.0);
3,5,1,-13;(0.0, 50.0, 50.0, 50.0, 50.0);
3,10,1,-13;(10.0, 30.0, 80.0, 60.0, 55.0);
3,15,1,-13;(10.0, 40.0, 70.0, 57.14, 55.0);
3,5,2,-13;(0.0, 30.0, 70.0, 50.0, 50.0);
3,10,2,-13;(0.0, 20.0, 80.0, 50.0, 50.0);
3,15,2,-13;(10.0, 50.0, 60.0, 55.56, 55.0);
3,5,1,-14;(-30.0, 40.0, 30.0, 36.36, 35.0);
3,10,1,-14;(0.0, 40.0, 60.0, 50.0, 50.0);
3,15,1,-14;(0.0, 50.0, 50.0, 50.0, 50.0);
3,5,2,-14;(-10.0, 20.0, 70.0, 40.0, 45.0);
3,10,2,-14;(-20.0, 30.0, 50.0, 37.5, 40.0);
3,15,2,-14;(-30.0, 20.0, 50.0, 28.57, 35.0);
3,5,1,-15;(-30.0, 20.0, 50.0, 28.57, 35.0);
3,10,1,-15;(-30.0, 40.0, 30.0, 36.36, 35.0);
3,15,1,-15;(-30.0, 20.0, 50.0, 28.57, 35.0);
3,5,2,-15;(10.0, 40.0, 70.0, 57.14, 55.0);
3,10,2,-15;(20.0, 50.0, 70.0, 62.5, 60.0);
3,15,2,-15;(-30.0, 20.0, 50.0, 28.57, 35.0);
3,5,1,-16;(-30.0, 30.0, 40.0, 33.33, 35.0);
3,10,1,-16;(-70.0, 10.0, 20.0, 11.11, 15.0);
3,15,1,-16;(-30.0, 20.0, 50.0, 28.57, 35.0);
3,5,2,-16;(-50.0, 10.0, 40.0, 14.29, 25.0);
3,10,2,-16;(-40.0, 10.0, 50.0, 16.67, 30.0);
3,15,2,-16;(-40.0, 30.0, 30.0, 30.0, 30.0);
3,5,1,-17;(-30.0, 20.0, 50.0, 28.57, 35.0);
3,10,1,-17;(0.0, 30.0, 70.0, 50.0, 50.0);
3,15,1,-17;(0.0, 50.0, 50.0, 50.0, 50.0);
3,5,2,-17;(-20.0, 30.0, 50.0, 37.5, 40.0);
3,10,2,-17;(-30.0, 30.0, 40.0, 33.33, 35.0);
3,15,2,-17;(-30.0, 20.0, 50.0, 28.57, 35.0);
3,5,1,-18;(-10.0, 20.0, 70.0, 40.0, 45.0);
3,10,1,-18;(-10.0, 30.0, 60.0, 42.86, 45.0);
3,15,1,-18;(-10.0, 40.0, 50.0, 44.44, 45.0);
3,5,2,-18;(0.0, 30.0, 70.0, 50.0, 50.0);
3,10,2,-18;(0.0, 30.0, 70.0, 50.0, 50.0);
3,15,2,-18;(10.0, 40.0, 70.0, 57.14, 55.0);
3,5,1,-19;(-10.0, 10.0, 80.0, 33.33, 45.0);
3,10,1,-19;(-20.0, 20.0, 60.0, 33.33, 40.0);
3,15,1,-19;(-50.0, 0.0, 50.0, 0.0, 25.0);
3,5,2,-19;(-20.0, 30.0, 50.0, 37.5, 40.0);
3,10,2,-19;(10.0, 50.0, 60.0, 55.56, 55.0);
3,15,2,-19;(-10.0, 40.0, 50.0, 44.44, 45.0);
3,5,1,-20;(-40.0, 10.0, 50.0, 16.67, 30.0);
3,10,1,-20;(-10.0, 50.0, 40.0, 45.45, 45.0);
3,15,1,-20;(-20.0, 40.0, 40.0, 40.0, 40.0);
3,5,2,-20;(-10.0, 20.0, 70.0, 40.0, 45.0);
3,10,2,-20;(-40.0, 20.0, 40.0, 25.0, 30.0);
3,15,2,-20;(10.0, 30.0, 80.0, 60.0, 55.0);
3,5,1,-21;(-40.0, 20.0, 40.0, 25.0, 30.0);
3,10,1,-21;(10.0, 30.0, 80.0, 60.0, 55.0);
